name,person,type,,date,Должность декларанта,department,share,details,area_sqm,transport-details,manager,income_details,income_amount
Абдылдаев Мыктыбек Юсупович,deputy,income,0,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с. -по месту основной работы,997 146 
Абдылдаев Мыктыбек Юсупович,deputy,income,1,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с.-пенсия,714 546 
Абдылдаев Мыктыбек Юсупович,deputy,real_estate,2,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,дом,172,,,,
Абдылдаев Мыктыбек Юсупович,relatives,real_estate,3,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,квартира,187,,,,
Абдылдаев Мыктыбек Юсупович,relatives,other_estate,4,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,лег/автомобиль ,,"Тойота Камри, 2015г. V=2494Б",,,
Абжалиев Алиярбек Токобекович,deputy,income,5,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с. - по месту основной работы ,787 075 
Абжалиев Алиярбек Токобекович,deputy,other_estate,6,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,автотранспортное средство,,"Тойота Лендкрузер, 2012г., V=4",,,
Айнакулов Мухтарбек Айнакулович,deputy,income,7,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с. - по месту основной работы,597 633 
Айнакулов Мухтарбек Айнакулович,relatives,real_estate,8,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,квартира ,115,,,,
Айнакулов Мухтарбек Айнакулович,relatives,other_estate,9,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,лег/автомобиль,,"Тойота РАФ 4, 2004г., V=1998",,,
Айдаров Салайдин Абдираевич,deputy,income,10,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с. - по месту основной работы,786 243 
Айдаров Салайдин Абдираевич,deputy,income,11,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с. - пенсия,198 336 
Айдаров Салайдин Абдираевич,deputy,income,12,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,,,,,с.-от гражданско-правовых договоров,1 000 000 
Айдаров Салайдин Абдираевич,deputy,real_estate,13,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,нежилое помещение,166.3,,,,
Айдаров Салайдин Абдираевич,deputy,real_estate,14,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,дом,179,,,,
Айдаров Салайдин Абдираевич,deputy,real_estate,15,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,квартира,70,,,,
Айдаров Салайдин Абдираевич,deputy,real_estate,16,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,дом недостроенный,410,,,,
Айдаров Салайдин Абдираевич,relatives,real_estate,17,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,дом ,329.5,,,,
Айдаров Салайдин Абдираевич,relatives,real_estate,18,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,нежилое помещение,122.3,,,,
Айдаров Салайдин Абдираевич,relatives,real_estate,19,2016-12-31,Депутат,Жогорку Кенеш Кыргызской Республики,,земельный участок,800,,,,
