,record,type,person,name,amount,currency,detail
0,997 146 с. -по месту основной работы,income,deputy,Абдылдаев Мыктыбек Юсупович,997146,с.,по месту основной работы
1,714 546 с.-пенсия,income,deputy,Абдылдаев Мыктыбек Юсупович,714546,с.,пенсия
0,787 075 с. - по месту основной работы ,income,deputy,Абжалиев Алиярбек Токобекович,787075,с.,по месту основной работы
0,597 633 с. - по месту основной работы,income,deputy,Айнакулов Мухтарбек Айнакулович,597633,с.,по месту основной работы
0,786 243 с. - по месту основной работы,income,deputy,Айдаров Салайдин Абдираевич,786243,с.,по месту основной работы
1,198 336 с. - пенсия,income,deputy,Айдаров Салайдин Абдираевич,198336,с.,пенсия
2,1 000 000 с.-от гражданско-правовых договоров,income,deputy,Айдаров Салайдин Абдираевич,1000000,с.,от гражданско-правовых договоров
0,852 417 с. - по месту основной работы ,income,deputy,Акматов Алмасбек Жумабекович,852417,с.,по месту основной работы
0,648 163 с. - по месту основной работы ,income,deputy,Акаев Жанарбек Кубанычович,648163,с.,по месту основной работы
0,885 352 с. - по месту основной работы ,income,deputy,Алимбеков Нурбек Каарыевич,885352,с.,по месту основной работы
0,360 000 с.-по месту основной работы ,income,relatives,Алимбеков Нурбек Каарыевич,360000,с.,по месту основной работы
1,721 562 с. - от предпринимательской деятельности,income,relatives,Алимбеков Нурбек Каарыевич,721562,с.,от предпринимательской деятельности
0,945 120 с.-по месту основной работы ,income,deputy,Алтыбаева Айнуру Тойчиевна,945120,с.,по месту основной работы
1,74 120 с.- пенсия,income,deputy,Алтыбаева Айнуру Тойчиевна,74120,с.,пенсия
0,483 621 с. - по месту основной работы ,income,relatives,Алтыбаева Айнуру Тойчиевна,483621,с.,по месту основной работы
1,465 725 с. - от совмещения должностей,income,relatives,Алтыбаева Айнуру Тойчиевна,465725,с.,от совмещения должностей
0,754 002 с.-по месту основной работы ,income,deputy,Алтынбеков Айбек Алтынбекович,754002,с.,по месту основной работы
0,701 390 с.-по месту основной работы ,income,deputy,Аманкулов Марат Аскерович,701390,с.,по месту основной работы
0,859 471 с.-по месту основной работы ,income,deputy,Арапбаев Азамат Абдуллажанович,859471,с.,по месту основной работы
1,9 993 341 с.-от дивидендов,income,deputy,Арапбаев Азамат Абдуллажанович,9993341,с.,от дивидендов
2,300 000 с. - возврат суммы,income,deputy,Арапбаев Азамат Абдуллажанович,300000,с.,возврат суммы
0,178 439 504 с. - от  дивидендов  за 2015 г.,income,relatives,Арапбаев Азамат Абдуллажанович,178439504,с.,от  дивидендов  за 2015 г.
1,7 876 881 с.- проценты от вложений,income,relatives,Арапбаев Азамат Абдуллажанович,7876881,с.,проценты от вложений
2,50 000 с.-от аренды,income,relatives,Арапбаев Азамат Абдуллажанович,50000,с.,от аренды
0,330 800 с. ,spendeturs,relatives,Арапбаев Азамат Абдуллажанович,330800,,
1,59 440 953 с.,spendeturs,relatives,Арапбаев Азамат Абдуллажанович,59440953,,
2,4 992 791 с.,spendeturs,relatives,Арапбаев Азамат Абдуллажанович,4992791,,
3,62 000 с.,spendeturs,relatives,Арапбаев Азамат Абдуллажанович,62000,,
0,898 424 с.-по месту основной работы ,income,deputy,Артыкбаев Осмонбек Мамбетжанович,898424,с.,по месту основной работы
0,389 580 с. - по месту основной работы ,income,relatives,Артыкбаев Осмонбек Мамбетжанович,389580,с.,по месту основной работы
1,3 960 000 с. - от аренды,income,relatives,Артыкбаев Осмонбек Мамбетжанович,3960000,с.,от аренды
2,6 051 200 с. - от предпринимательской деятельности,income,relatives,Артыкбаев Осмонбек Мамбетжанович,6051200,с.,от предпринимательской деятельности
0,654 673 с.-по месту основной работы ,income,deputy,Асылбек уулу Дамирбек,654673,с.,по месту основной работы
0,654 714 с.- по месту основной работы,income,deputy,Асылбаева Гюльшат Кадыровна,654714,с.,по месту основной работы
0,1 065 324 с.-по месту основной работы ,income,deputy,Артыков Анвар Артыкович,1065324,с.,по месту основной работы
1,278 667 с.- пенсия,income,deputy,Артыков Анвар Артыкович,278667,с.,пенсия
0,52 236 с. -пенсия,income,relatives,Артыков Анвар Артыкович,52236,с.,пенсия
0,637 051 с.-по месту основной работы,income,deputy,Аттокуров Данияр Бексултанович,637051,с.,по месту основной работы
0,817 465 с.-по месту основной работы,income,deputy,Баатырбеков Алмазбек Баатырбекович,817465,с.,по месту основной работы
1,500 000 с.-от реализации продукции,income,deputy,Баатырбеков Алмазбек Баатырбекович,500000,с.,от реализации продукции
0,827 738 с. -по месту основной работы,income,deputy,Бакиров Мирлан Исакбекович,827738,с.,по месту основной работы
0,18 616 с. -  по месту основной работы ,income,relatives,Бакиров Мирлан Исакбекович,18616,с.,по месту основной работы
0,739 518 с.- по месту основной работы ,income,deputy,Байбакпаев Экмат Джурукпаевич,739518,с.,по месту основной работы
1,1 648 000 с. -  от продажи скота,income,deputy,Байбакпаев Экмат Джурукпаевич,1648000,с.,от продажи скота
0,1 540 000 с.- от предпринимательской деятельности,income,relatives,Байбакпаев Экмат Джурукпаевич,1540000,с.,от предпринимательской деятельности
1,1 530 000 с.-от продажи скота,income,relatives,Байбакпаев Экмат Джурукпаевич,1530000,с.,от продажи скота
2,350 000 с.-от продажи автомобиля,income,relatives,Байбакпаев Экмат Джурукпаевич,350000,с.,от продажи автомобиля
0,851 085 с.-по месту основной работы ,income,deputy,Баймуратов Калдарбек Шакирович,851085,с.,по месту основной работы
0,1 038 898 с. - по месту основной работы,income,deputy,Бабанов Омурбек Токтогулович,1038898,с.,по месту основной работы
1,6 113 900 с. - проценты от вкладов,income,deputy,Бабанов Омурбек Токтогулович,6113900,с.,проценты от вкладов
0,34 616 213 с. - проценты от вкладов,income,relatives,Бабанов Омурбек Токтогулович,34616213,с.,проценты от вкладов
1,2 682 000 с.-по месту основной работы ,income,relatives,Бабанов Омурбек Токтогулович,2682000,с.,по месту основной работы
2,3 756 907 с. - от продажи АМТС,income,relatives,Бабанов Омурбек Токтогулович,3756907,с.,от продажи АМТС
0,272 756 000 с.,spendeturs,relatives,Бабанов Омурбек Токтогулович,272756000,,
0,1 033 232 с. -по месту основной работы ,income,deputy,Бакчиев Джаныбек Абдукапарович,1033232,с.,по месту основной работы
