,name,person,type,доля (%),наименование,сведения о транспортных средствах,хозяйствующий субъект,year
0,Абдылдаев Мыктыбек Юсупович,relatives,other_estate,,лег/автомобиль ,"Тойота Камри, 2015г. V=2494Б",,2015
0,Абжалиев Алиярбек Токобекович,deputy,other_estate,,автотранспортное средство,"Тойота Лендкрузер, 2012г., V=4",,2012
0,Айнакулов Мухтарбек Айнакулович,relatives,other_estate,,лег/автомобиль,"Тойота РАФ 4, 2004г., V=1998",,2004
0,Айдаров Салайдин Абдираевич,relatives,other_estate,,автомобиль ,"Тойота РАФ 4, 2006г.",,2006
0,Акматов Алмасбек Жумабекович,relatives,other_estate,,автомобиль,"Тойота Лендкрузер, 2013г., V=4,8",,2013
0,Алимбеков Нурбек Каарыевич,relatives,other_estate,,лег/автомобиль ,"Лексус 570, 2009 г.",,
1,Алимбеков Нурбек Каарыевич,relatives,other_estate,,лег/автомобиль ,"Тойота Камри, 2006г.",,2006
2,Алимбеков Нурбек Каарыевич,relatives,other_estate,,лег/автомобиль ,"Лексус RX 350, 2013 г.",,
0,Алтыбаева Айнуру Тойчиевна,relatives,other_estate,,лег/автомобиль ,"Тойота Раннер, 2007г., V=3955 Б",,2007
0,Алтынбеков Айбек Алтынбекович,relatives,other_estate,,автомобиль,"Тойота Авенсис, 2004г., V=1998",,2004
1,Алтынбеков Айбек Алтынбекович,relatives,other_estate,,автомобиль,"Лексус  470, 2003г.,  V=4664",,2003
2,Алтынбеков Айбек Алтынбекович,relatives,other_estate,,автомобиль,"Тойота Ленд Крузер, 2014, V=4608",,
0,Аманкулов Марат Аскерович,deputy,other_estate,,автомобиль,"Даймлер Крайслер 208, 1995г., V=2,3",,1995
1,Аманкулов Марат Аскерович,deputy,other_estate,,автомобиль,"Фольксваген Пассат, 1990г., V=1,3",,1990
2,Аманкулов Марат Аскерович,deputy,other_estate,,автомобиль,"Мерседес Бенц-208, 1993 г.,  V=2,3",,
3,Аманкулов Марат Аскерович,deputy,other_estate,,автомобиль,"Мерседес Бенц-500, 1995г., V=5,0",,1995
0,Аманкулов Марат Аскерович,relatives,other_estate,,автомобиль,"Хонда Сивик, 2006г., V=1,6",,2006
1,Аманкулов Марат Аскерович,relatives,other_estate,,лег/автомобиль,"Мерседес S 500, 2003г., V=5,0",,2003
2,Аманкулов Марат Аскерович,relatives,other_estate,,автомобиль,"Тойота Лендкрузер 200, 2014г.,  V=4,6",,2014
0,Арапбаев Азамат Абдуллажанович,deputy,other_estate,100.0,,,оборудование ,
1,Арапбаев Азамат Абдуллажанович,deputy,other_estate,100.0,,,купоны ОАО,
2,Арапбаев Азамат Абдуллажанович,deputy,other_estate,100.0,,,капитал ОсОО ,
3,Арапбаев Азамат Абдуллажанович,deputy,other_estate,67.0,,,капитал ОсОО ,
