,name,person,type,доля (%),наименование,площадь (кв.м),хозяйствующий субъект
0,Абдылдаев Мыктыбек Юсупович,deputy,real_estate,,дом,172,
0,Абдылдаев Мыктыбек Юсупович,relatives,real_estate,,квартира,187,
0,Айнакулов Мухтарбек Айнакулович,relatives,real_estate,,квартира ,115,
0,Айдаров Салайдин Абдираевич,deputy,real_estate,,нежилое помещение,166.3,
1,Айдаров Салайдин Абдираевич,deputy,real_estate,,дом,179,
2,Айдаров Салайдин Абдираевич,deputy,real_estate,,квартира,70,
3,Айдаров Салайдин Абдираевич,deputy,real_estate,,дом недостроенный,410,
0,Айдаров Салайдин Абдираевич,relatives,real_estate,,дом ,329.5,
1,Айдаров Салайдин Абдираевич,relatives,real_estate,,нежилое помещение,122.3,
2,Айдаров Салайдин Абдираевич,relatives,real_estate,,земельный участок,800.0,
3,Айдаров Салайдин Абдираевич,relatives,real_estate,,квартира,210.9,
0,Акматов Алмасбек Жумабекович,deputy,real_estate,,земельный участок,"2,7 га",
0,Алимбеков Нурбек Каарыевич,deputy,real_estate,,земельный участок,103.7,
0,Алимбеков Нурбек Каарыевич,relatives,real_estate,,дом,675,
0,Алтыбаева Айнуру Тойчиевна,deputy,real_estate,,дом,170,
0,Алтыбаева Айнуру Тойчиевна,relatives,real_estate,,дом,80,
0,Алтынбеков Айбек Алтынбекович,deputy,real_estate,,земельный участок,40000,
1,Алтынбеков Айбек Алтынбекович,deputy,real_estate,,земельный участок,3500,
0,Алтынбеков Айбек Алтынбекович,relatives,real_estate,,дом,117.0,
1,Алтынбеков Айбек Алтынбекович,relatives,real_estate,,квартира,50.9,
0,Аманкулов Марат Аскерович,deputy,real_estate,,дом,17130,
1,Аманкулов Марат Аскерович,deputy,real_estate,,дом,489,
2,Аманкулов Марат Аскерович,deputy,real_estate,,дом,750,
3,Аманкулов Марат Аскерович,deputy,real_estate,,дом,300,
4,Аманкулов Марат Аскерович,deputy,real_estate,,дом,450,
5,Аманкулов Марат Аскерович,deputy,real_estate,,дом,1200,
6,Аманкулов Марат Аскерович,deputy,real_estate,,дом,6040,
7,Аманкулов Марат Аскерович,deputy,real_estate,,дом,3000,
8,Аманкулов Марат Аскерович,deputy,real_estate,,дом,370,
9,Аманкулов Марат Аскерович,deputy,real_estate,,дом,400,
10,Аманкулов Марат Аскерович,deputy,real_estate,,дом,300,
11,Аманкулов Марат Аскерович,deputy,real_estate,,дом,400,
12,Аманкулов Марат Аскерович,deputy,real_estate,,дом,380,
13,Аманкулов Марат Аскерович,deputy,real_estate,,дом,350,
0,Аманкулов Марат Аскерович,relatives,real_estate,,дом,3039,
1,Аманкулов Марат Аскерович,relatives,real_estate,,дом,54,
0,Арапбаев Азамат Абдуллажанович,deputy,real_estate,100.0,,,оборудование 
1,Арапбаев Азамат Абдуллажанович,deputy,real_estate,100.0,,,купоны ОАО
2,Арапбаев Азамат Абдуллажанович,deputy,real_estate,100.0,,,капитал ОсОО 
3,Арапбаев Азамат Абдуллажанович,deputy,real_estate,67.0,,,капитал ОсОО 
4,Арапбаев Азамат Абдуллажанович,deputy,real_estate,100.0,,,капитал ОсОО 
5,Арапбаев Азамат Абдуллажанович,deputy,real_estate,33.4,,,капитал ОсОО 
0,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,земельный участок,852,
1,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,квартира,208.3,
2,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,нежилое помещение,29,
3,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,земельный участок  магазин, 1397             214,
4,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,квартира,83.41,
5,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,квартира,83.41,
6,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,квартира,83.41,
7,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,квартира,83.41,
8,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,квартира,2020.6,
9,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,"нежилое помещение, кафе (50%)",259.9,
10,Арапбаев Азамат Абдуллажанович,relatives,real_estate,,земельный участок врем.пользования (50%),400,
0,Артыкбаев Осмонбек Мамбетжанович,deputy,real_estate,,дом,331,
0,Артыкбаев Осмонбек Мамбетжанович,relatives,real_estate,,земельный участок,800,
1,Артыкбаев Осмонбек Мамбетжанович,relatives,real_estate,,земельный участок,800,
2,Артыкбаев Осмонбек Мамбетжанович,relatives,real_estate,,нежилое помещение,76.5,
